TrackID,Time,Velocity,LongitudeGPS,LatitudeGPS
1427,73000000,23.0,135.4644885,34.7155088
1427,73000100,22.7,135.464499,34.7155061
1427,73000200,23.2,135.4645101,34.7155032
1427,73000300,23.8,135.4645212,34.7155003
1427,73000400,24.2,135.4645314,34.7154976
1427,73000500,24.5,135.4645401,34.7154955
1427,73000600,24.4,135.4645473,34.7154939
1427,73000700,24.4,135.4645535,34.7154927
1427,73000800,24.4,135.4645594,34.7154916
1427,73000900,24.4,135.4645659,34.7154903
1427,73001000,24.4,135.4645739,34.7154884
1427,73001100,24.4,135.464584,34.7154859
1427,73001200,24.4,135.464596,34.7154827
1427,73001300,24.4,135.4646095,34.7154789
1427,73001400,24.4,135.4646235,34.7154748
1427,73001500,24.1,135.4646372,34.7154708
1427,73001600,24.0,135.46465,34.715467
1427,73001700,24.4,135.4646619,34.7154636
1427,73001800,25.4,135.4646727,34.7154606
1427,73001900,25.2,135.4646829,34.7154578
1427,73002000,25.7,135.4646928,34.7154552
1427,73002100,26.2,135.4647026,34.7154527
1427,73002200,26.7,135.4647128,34.7154503
1427,73002300,27.2,135.4647234,34.7154477
1427,73002400,28.1,135.4647345,34.7154451
1427,73002500,28.4,135.4647458,34.7154425
1427,73002600,29.4,135.464757,34.71544
1427,73002700,30.1,135.4647675,34.7154375
1427,73002800,30.6,135.4647768,34.7154353
1427,73002900,31.0,135.4647847,34.7154332
1427,73003000,31.0,135.4647914,34.7154314
1427,73003100,30.7,135.4647972,34.7154298
1427,73003200,30.9,135.4648029,34.7154282
1427,73003300,30.3,135.4648094,34.7154265
1427,73003400,30.3,135.464817,34.7154245
1427,73003500,30.6,135.4648259,34.7154222
1427,73003600,30.8,135.464836,34.7154195
1427,73003700,31.1,135.4648471,34.7154165
1427,73003800,31.4,135.4648587,34.7154133
1427,73003900,31.4,135.4648705,34.71541
1427,73004000,31.6,135.4648825,34.7154067
1427,73004100,31.6,135.4648945,34.7154034
1427,73004200,32.0,135.4649065,34.7154002
1427,73004300,32.0,135.4649185,34.7153971
1427,73004400,33.2,135.4649307,34.7153939
1427,73004500,34.3,135.4649429,34.7153908
1427,73004600,35.1,135.4649552,34.7153876
1427,73004700,35.1,135.4649676,34.7153844
1427,73004800,36.8,135.4649799,34.7153812
1427,73004900,37.6,135.4649921,34.715378
1427,73005000,37.6,135.4650041,34.7153748
1427,73005100,38.0,135.4650161,34.7153717
1427,73005200,37.9,135.4650279,34.7153686
1427,73005300,36.8,135.4650397,34.7153655
1427,73005400,37.0,135.4650517,34.7153624
1427,73005500,37.6,135.4650637,34.7153593
1427,73005600,37.4,135.4650758,34.7153562
1427,73005700,37.1,135.4650879,34.7153532
1427,73005800,37.1,135.4651001,34.7153503
1427,73005900,36.5,135.4651124,34.7153474
1427,73006000,35.9,135.4651247,34.7153445
1427,73006100,35.8,135.4651368,34.7153415
1427,73006200,35.8,135.4651489,34.7153385
1427,73006300,35.8,135.4651607,34.7153354
1427,73006400,36.6,135.4651723,34.7153324
1427,73006500,37.8,135.4651837,34.7153293
1427,73006600,38.8,135.4651948,34.7153264
1427,73006700,39.5,135.4652058,34.7153235
1427,73006800,39.5,135.4652167,34.7153207
1427,73006900,41.4,135.4652276,34.7153179
1427,73007000,41.3,135.4652386,34.7153152
1427,73007100,41.3,135.4652496,34.7153124
1427,73007200,42.0,135.4652609,34.7153096
1427,73007300,40.5,135.4652722,34.7153068
1427,73007400,39.8,135.4652837,34.7153039
1427,73007500,39.8,135.4652952,34.715301
1427,73007600,39.4,135.4653066,34.7152981
1427,73007700,38.8,135.465318,34.7152952
1427,73007800,36.2,135.4653292,34.7152923
1427,73007900,34.1,135.4653403,34.7152894
1427,73008000,29.9,135.4653512,34.7152866
1427,73008100,28.4,135.4653618,34.7152838
1427,73008200,28.4,135.4653722,34.7152811
1427,73008300,28.4,135.4653825,34.7152784
1427,73008400,28.5,135.4653931,34.7152755
1427,73008500,29.7,135.4654048,34.7152723
1427,73008600,31.2,135.4654182,34.7152686
1427,73008700,32.6,135.4654337,34.7152643
1427,73008800,32.7,135.4654519,34.7152593
1427,73008900,32.7,135.4654726,34.7152537
1427,73009000,32.7,135.4654952,34.7152477
1427,73009100,32.8,135.465519,34.7152416
1427,73009200,32.8,135.4655427,34.7152356
1427,73009300,32.8,135.4655652,34.7152299
1427,73009400,32.9,135.4655855,34.7152247
1427,73009500,32.9,135.4656032,34.7152201
1427,73009600,32.9,135.4656181,34.7152159
1427,73009700,32.9,135.4656308,34.7152121
1427,73009800,33.0,135.4656419,34.7152086
1427,73009900,33.0,135.4656522,34.7152053
1427,73010000,33.0,135.4656621,34.7152021
1427,73010100,33.1,135.4656722,34.715199
1427,73010200,33.1,135.4656826,34.7151958
1427,73010300,33.1,135.4656935,34.7151926
1427,73010400,33.2,135.4657051,34.7151892
1427,73010500,33.2,135.4657172,34.7151858
1427,73010600,33.2,135.4657299,34.7151823
1427,73010700,33.2,135.4657431,34.7151787
1427,73010800,33.3,135.4657565,34.7151753
1427,73010900,33.3,135.46577,34.7151719
1427,73011000,33.3,135.4657833,34.7151685
1427,73011100,33.4,135.4657964,34.7151651
1427,73011200,33.4,135.4658093,34.7151615
