,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
0,0,10976,1616537313.3,37.85610328214121,-0.0055528868190902,-86.723166,36.1117837,390.6292331199992
5,5,10981,1616537313.8,37.15799906270324,-0.98,-86.7231407,36.1117418,385.9112089650124
10,10,10986,1616537314.3,36.17513715904241,-0.98,-86.7231172,36.1117005,385.1061407220122
15,15,10991,1616537314.8,34.786348659037536,-1.4811469364851746,-86.7230948,36.1116585,386.0
20,20,10996,1616537315.3,33.277326005699926,-1.57,-86.72307020000001,36.1116147,392.0
25,25,11001,1616537315.8,31.65052127059708,-1.57,-86.7230448,36.1115717,386.0
30,30,11006,1616537316.3,29.439303020753613,-2.5500000000000003,-86.7230203,36.1115288,386.0
35,35,11011,1616537316.8,26.98557073763776,-2.74,-86.72299699999999,36.111487200000006,386.40651740201344
40,40,11016,1616537317.3,23.922162115346307,-3.72,-86.7229745,36.1114473,386.5485898488007
45,45,11021,1616537317.8,20.74162970603404,-3.3985808240263773,-86.7229527,36.1114093,389.9840608434957
50,50,11026,1616537318.3,17.628087848335444,-3.141930819167566,-86.7229317,36.11137279999999,390.6212899761008
55,55,11031,1616537318.8,14.684522257865856,-3.14,-86.7229122,36.1113393,391.530620662996
60,60,11036,1616537319.3,11.880441435007144,-2.94,-86.7228937,36.1113085,387.08668211568994
65,65,11041,1616537319.8,9.420984968133933,-2.541247225603208,-86.7228777,36.1112812,392.0
70,70,11046,1616537320.3,8.13155048937694,-1.1436750191242049,-86.7228637,36.11125820000001,390.9894598683851
75,75,11051,1616537320.8,7.63482403736996,-0.39,-86.722852,36.1112385,387.5337255147985
80,80,11056,1616537321.3,7.312139245037124,-0.2134137221910637,-86.7228428,36.111222,386.0
85,85,11061,1616537321.8,7.242112070619843,0.0,-86.7228353,36.1112088,386.0
90,90,11066,1616537322.3,7.26958837056808,0.0,-86.7228293,36.111198,387.4412727425326
95,95,11071,1616537322.8,7.307402397428897,0.0,-86.7228238,36.1111885,392.0
100,100,11076,1616537323.3,7.209035926125026,0.0,-86.7228187,36.1111797,388.5153587759735
105,105,11081,1616537323.8,7.028091173335917,-0.19,-86.7228135,36.1111713,391.5125379018119
110,110,11086,1616537324.3,6.702554031815689,-0.19,-86.7228085,36.111163,390.7314022158144
115,115,11091,1616537324.8,6.390000000000001,-0.19,-86.7228035,36.1111545,386.0
120,120,11096,1616537325.3,6.134975191273389,-0.19,-86.7227988,36.1111458,386.0
125,125,11101,1616537325.8,5.9429352680605945,0.0,-86.72279420000001,36.1111373,392.0
130,130,11106,1616537326.3,6.619353767757875,0.98,-86.7227895,36.1111292,387.4350275810173
135,135,11111,1616537326.8,8.017052858886489,1.76,-86.7227852,36.1111213,392.0
140,140,11116,1616537327.3,9.893831918031363,1.96,-86.7227808,36.111114,386.0
145,145,11121,1616537327.8,11.707881533101045,1.84114898549632,-86.7227765,36.111107,390.0353401237667
150,150,11126,1616537328.3,13.066605391442833,1.17,-86.7227723,36.1110998,390.9898803444545
155,155,11131,1616537328.8,14.12812424471299,1.17,-86.7227675,36.1110917,386.0
160,160,11136,1616537329.3,15.088214846941982,0.98,-86.7227617,36.1110818,386.0
165,165,11141,1616537329.8,15.637215367037989,0.58,-86.72275450000001,36.1110698,392.0
170,170,11146,1616537330.3,16.100461601567844,0.229167091777582,-86.7227462,36.111056,390.9811173964256
175,175,11151,1616537330.8,16.285321941151057,0.19,-86.7227372,36.1110407,386.0
180,180,11156,1616537331.3,16.330361172987196,0.0,-86.72272729999999,36.111024,386.0
185,185,11161,1616537331.8,16.455229620049113,0.1277499195809016,-86.7227168,36.1110065,386.0
190,190,11166,1616537332.3,17.02137368799425,0.7405068534638569,-86.722706,36.1109883,386.0
195,195,11171,1616537332.8,17.650796808096537,0.6396642063427691,-86.722695,36.1109698,386.0
200,200,11176,1616537333.3,17.935105946500393,0.0,-86.7226838,36.1109512,387.4289833407868
205,205,11181,1616537333.8,17.92,-0.1456413952422773,-86.7226727,36.1109325,392.0
210,210,11186,1616537334.3,17.66164423838064,-0.2468587845752285,-86.7226613,36.1109135,390.64656515713074
215,215,11191,1616537334.8,17.38,-0.39,-86.72264969999999,36.1108938,387.5429414458935
220,220,11196,1616537335.3,17.105591275248663,-0.19,-86.72263769999999,36.110874,386.0
225,225,11201,1616537335.8,16.771653758745156,-0.2289693830721825,-86.7226255,36.1108533,386.413106507589
230,230,11206,1616537336.3,16.95073887440307,0.39,-86.72261329999999,36.110833,386.0
235,235,11211,1616537336.8,16.944818388661968,0.0,-86.7226012,36.110813,386.0
240,240,11216,1616537337.3,16.64,-0.19,-86.7225893,36.1107932,387.4344637460349
245,245,11221,1616537337.8,16.183750785340315,-0.39,-86.7225777,36.1107738,386.0673727658394
250,250,11226,1616537338.3,15.523291158522072,-0.6574124139418669,-86.7225662,36.1107547,386.0
255,255,11231,1616537338.8,14.82,-0.78,-86.7225545,36.1107353,387.9449828548181
260,260,11236,1616537339.3,14.016732634174058,-0.68315627141878,-86.722543,36.110716,392.0
265,265,11241,1616537339.8,13.18053421633554,-0.929507636217739,-86.72253149999999,36.110697,392.0
270,270,11246,1616537340.3,11.449097561184836,-2.035042399859744,-86.7225203,36.1106785,392.0
275,275,11251,1616537340.8,9.739448140363702,-1.76,-86.7225097,36.110661,386.5682574520957
