Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
1616624545.9,65.45782132701423,-0.5225263095575154,-86.6849778,36.0649127,388.0
1616624546.0,65.32381732015999,-0.5194740243641569,-86.6849642,36.0648995,388.0
1616624546.1,65.22530072690873,-0.5148365173487544,-86.6849507,36.0648865,388.0
1616624546.2,65.10611314008919,-0.5083472603522871,-86.684937,36.0648733,388.0
1616624546.3,64.9989327705471,-0.4997236513888271,-86.6849233,36.06486029999999,388.0
1616624546.4,64.85830750861821,-0.4886983415945033,-86.6849098,36.0648472,388.0
1616624546.5,64.79795407021196,-0.4750247224260028,-86.68489620000001,36.0648342,388.0
1616624546.6,64.66869795066519,-0.458510276660046,-86.6848827,36.0648213,388.0
1616624546.7,64.53537530674559,-0.4390175257594306,-86.68486920000001,36.06480820000001,388.0
1616624546.8,64.41113337477418,-0.4164938390451359,-86.6848558,36.0647953,388.0
1616624546.9,64.28827474989922,-0.3909646695591016,-86.6848423,36.0647823,388.0
1616624547.0,64.19153185791197,-0.362554528103775,-86.68482879999999,36.0647695,388.0
1616624547.1,64.09319730525709,-0.3314710757685556,-86.6848153,36.0647565,388.0
1616624547.6,63.82265005056792,-0.1486706173161417,-86.6847488,36.0646923,388.0
1616624547.7,63.78156170782421,-0.1098527709012359,-86.6847355,36.0646795,388.0
1616624547.8,63.81077788507515,-0.0714260801648392,-86.6847223,36.0646667,388.0
1616624547.9,63.8356006823091,-0.0338374573313334,-86.684709,36.064654,388.0
1616624548.0,63.86012998377482,0.0025193201632075,-86.6846958,36.0646412,388.0
1616624548.1,63.863712596970814,0.0373203763089939,-86.68468270000001,36.0646287,388.0
1616624548.2,63.911157565127965,0.0703204262575083,-86.6846695,36.0646158,388.0
1616624548.3,63.98134143104285,0.1013599359117129,-86.6846563,36.0646032,388.0
1616624548.4,64.0254203765248,0.1303638848818273,-86.68464329999999,36.0645907,388.0
1616624548.5,64.09269107032567,0.1573381152132613,-86.6846302,36.064578,388.0
1616624548.6,64.13465361030565,0.1823561003086846,-86.684617,36.0645655,388.0
1616624548.7,64.1858389731407,0.2055460418779473,-86.6846042,36.0645528,388.0
1616624548.8,64.26280608351034,0.2270675707956178,-86.684591,36.0645403,388.0
1616624548.9,64.29730273469039,0.2470946201405156,-86.6845782,36.0645277,388.0
1616624549.0,64.3698893343873,0.2657878821383216,-86.68456529999999,36.0645152,388.0
1616624549.1,64.45723940249533,0.2832806236621967,-86.6845523,36.0645027,388.0
1616624549.2,64.48186139476725,0.2996542655307313,-86.6845393,36.0644903,388.0
1616624549.3,64.57651688523981,0.3149336149621979,-86.6845265,36.0644777,388.0
1616624549.4,64.6808959491808,0.3290713645181455,-86.6845137,36.0644653,388.0
1616624549.5,64.75552303276329,0.3419561189653819,-86.6845007,36.064453,388.0
1616624549.6,64.90252055420916,0.3534081631713835,-86.6844878,36.0644405,388.0
1616624549.7,64.88,0.3631998911113368,-86.684475,36.0644282,388.0
1616624549.8,65.06158413690842,0.3710616348454321,-86.6844622,36.0644158,388.0
1616624549.9,65.0781157052886,0.3767109545606634,-86.6844493,36.0644033,388.0
1616624550.0,65.19932176729122,0.3798644598082344,-86.6844365,36.064391,388.0
1616624550.1,65.34181619267889,0.3802700646741682,-86.6844236,36.0643786,388.0
1616624550.2,65.48431061806656,0.3777186183500273,-86.6844107,36.0643662,388.0
1616624550.3,65.6131142040512,0.3720717607393854,-86.6843978,36.06435379999999,388.0
1616624550.4,65.64214160070361,0.3632663960531896,-86.68438499999999,36.0643415,388.0
1616624550.5,65.76411257567631,0.3513312289635519,-86.684372,36.064329,388.0
1616624550.6,65.83636455378573,0.3363789769812803,-86.6843592,36.0643167,388.0
1616624550.7,66.00933396005534,0.3186081736491542,-86.6843463,36.0643042,388.0
1616624550.8,66.03719241281897,0.29828293781055,-86.6843335,36.0642917,388.0
1616624550.9,66.1328989440809,0.2757224998325331,-86.6843205,36.0642792,388.0
1616624551.0,66.16873756867165,0.2512742957295977,-86.68430749999999,36.06426679999999,388.0
1616624551.1,66.21477504956535,0.2252988065299357,-86.68429470000001,36.0642542,388.0
1616624551.2,66.23412098020458,0.1981450866336283,-86.6842818,36.0642417,388.0
1616624551.3,66.26697544765462,0.1701395336897412,-86.6842688,36.0642292,388.0
1616624551.4,66.39468055854323,0.141571386678491,-86.684256,36.0642165,388.0
1616624551.5,66.40017614366661,0.1126902758203924,-86.68424300000001,36.064204,388.0
1616624551.6,66.43853668079556,0.0837038951016179,-86.68423,36.0641913,388.0
1616624551.7,66.45199829866213,0.0547833452894325,-86.684217,36.06417879999999,388.0
1616624551.8,66.31217297951993,0.0260697940806819,-86.68420400000001,36.064166,388.0
1616624551.9,66.37006026365349,-0.0023174386160243,-86.684191,36.0641533,388.0
1616624552.0,66.37058004099889,-0.030270711126477,-86.684178,36.0641408,388.0
1616624557.7,62.78947866720464,-0.4184845311459658,-86.68342679999999,36.06341679999999,388.0
1616624558.2,62.20613205473976,-0.3155927535569838,-86.6833625,36.0633544,388.0
1616624560.2,63.38,0.606856787411413,-86.6831083,36.0631075,388.0
1616624560.5,63.79357320258443,0.6453642070246237,-86.683071,36.063071,388.0
1616624562.8,66.68406920271539,0.5252578788467231,-86.6827822,36.0627907,388.0
1616624562.9,66.72932942395205,0.5205845747577522,-86.68276920000001,36.0627782,388.0
1616624563.0,66.83357413689882,0.516208315140166,-86.6827562,36.0627658,388.0
1616624564.4,68.36,0.4880254298280861,-86.6825718,36.062589,388.0
