,Unnamed: 0.1,Unnamed: 0,Time,Velocity,Acceleration,LongitudeGPS,LatitudeGPS,TrackID
780,780,20646,1616796131.4,20.80981430842608,0.78,-86.7176742,36.1053123,388.3410203583496
785,785,20651,1616796131.9,21.67037750087427,0.98,-86.7176515,36.105295700000006,391.5786650127543
790,790,20656,1616796132.4,22.575208729602565,0.7637504977266625,-86.717628,36.1052783,391.1044443270182
795,795,20661,1616796132.9,22.96657465610748,0.0,-86.7176037,36.1052603,395.43324592416207
800,800,20666,1616796133.4,22.57016890872345,-0.39,-86.7175782,36.1052418,388.0
805,805,20671,1616796133.9,22.22885895236076,-0.3120585922139205,-86.7175517,36.1052227,388.0
810,810,20676,1616796134.4,21.892524306103688,-0.1748401182875936,-86.717525,36.1052033,389.6882625362418
815,815,20681,1616796134.9,21.567896597396665,-0.3061058977526225,-86.7174988,36.1051843,398.0
820,820,20686,1616796135.4,21.26708659502212,-0.19,-86.717473,36.1051658,388.0
825,825,20691,1616796135.9,20.99422975765546,-0.19,-86.71744749999999,36.1051477,392.6852761344968
830,830,20696,1616796136.4,21.046805611368868,0.1590426331663753,-86.7174223,36.1051297,398.0
835,835,20701,1616796136.9,21.43441531335773,0.58,-86.7173975,36.1051118,388.0
840,840,20706,1616796137.4,22.01638178633976,0.551402429301693,-86.71737270000001,36.1050943,391.4482228599062
845,845,20711,1616796137.9,22.666422477692933,0.7121723456745168,-86.7173478,36.1050768,393.7706779717076
850,850,20716,1616796138.4,23.255532276586703,0.58,-86.717322,36.1050592,388.0
855,855,20721,1616796138.9,24.025308121745667,0.8465415514898259,-86.71729570000001,36.1050408,392.2539183431113
860,860,20726,1616796139.4,24.30159412274395,-0.19,-86.7172685,36.1050222,388.4105636721824
865,865,20731,1616796139.9,23.87110960692356,-0.39,-86.7172405,36.105003,398.0
870,870,20736,1616796140.4,23.37874510057087,-0.39,-86.7172115,36.104983,398.0
875,875,20741,1616796140.9,22.85066662797671,-0.39,-86.71718270000001,36.10496320000001,393.7830929582173
880,880,20746,1616796141.4,22.40968650246663,-0.555422150595398,-86.7171542,36.10494370000001,395.7031201927263
885,885,20751,1616796141.9,22.12704587137967,-0.19,-86.7171265,36.104924700000005,388.0
890,890,20756,1616796142.4,22.150122950819675,0.0,-86.7170995,36.1049058,398.0
895,895,20761,1616796142.9,22.68380387648129,0.58,-86.7170727,36.1048875,393.2880776740528
900,900,20766,1616796143.4,23.636189609172195,1.021251397480808,-86.71704629999999,36.1048695,384.63888683465694
905,905,20771,1616796143.9,24.867315811050883,1.17,-86.71701970000001,36.1048513,398.0
910,910,20776,1616796144.4,26.06423792834525,1.37,-86.7169922,36.1048328,398.0
915,915,20781,1616796144.9,27.183440651484307,0.9867511863243954,-86.71696329999999,36.1048133,392.2518455462808
920,920,20786,1616796145.4,28.32068614871981,1.17,-86.716933,36.104793,388.0
925,925,20791,1616796145.9,29.4269924660422,1.3529814735028003,-86.7169012,36.104772,393.2819657601344
930,930,20796,1616796146.4,30.50207362711489,1.17,-86.71686779999999,36.10474979999999,398.0
935,935,20801,1616796146.9,31.87395990922844,1.76,-86.716833,36.1047268,389.43836192719846
940,940,20806,1616796147.4,33.60563215386052,2.15,-86.716797,36.104703,397.9216188815541
945,945,20811,1616796147.9,35.49415728342226,1.96,-86.71675929999999,36.1046785,392.2446623026612
950,950,20816,1616796148.4,37.36855657329564,1.76,-86.71672,36.1046528,388.0
955,955,20821,1616796148.9,39.19842798908032,1.96,-86.7166782,36.10462570000001,388.0
960,960,20826,1616796149.4,40.982553655202985,1.5083394823863792,-86.7166343,36.104597,390.1559216420701
965,965,20831,1616796149.9,42.5758560706958,1.897221357739372,-86.7165882,36.104567200000005,396.4594866869903
970,970,20836,1616796150.4,44.280409103716565,1.76,-86.7165395,36.1045358,388.0
975,975,20841,1616796150.9,45.85,1.4597026280022258,-86.716489,36.1045032,395.2872093080172
980,980,20846,1616796151.4,47.382162995513376,1.56,-86.7164362,36.1044692,388.40488651728015
985,985,20851,1616796151.9,49.00505575324046,1.56,-86.7163817,36.1044338,391.7485791910399
990,990,20856,1616796152.4,50.53693886756327,1.56,-86.7163248,36.1043977,388.0
995,995,20861,1616796152.9,52.01265536412176,1.56,-86.7162662,36.1043602,395.2725855640789
1000,1000,20866,1616796153.4,53.41556920347184,1.56,-86.7162053,36.1043217,388.3841563591949
1005,1005,20871,1616796153.9,54.79990363232024,1.3774039431703526,-86.7161427,36.104282,388.0
1010,1010,20876,1616796154.4,55.98648251256825,1.17,-86.716078,36.10424129999999,388.0
1015,1015,20881,1616796154.9,56.8963752503654,0.78,-86.7160115,36.1041998,388.0
1020,1020,20886,1616796155.4,57.68605460970125,0.78,-86.71594300000001,36.1041572,391.8920662595005
1025,1025,20891,1616796155.9,58.535224969266494,0.98,-86.7158732,36.104113700000006,398.0
1030,1030,20896,1616796156.4,59.43769667415902,0.98,-86.7158027,36.104069200000005,397.84653256883206
1035,1035,20901,1616796156.9,60.23268215308086,0.98,-86.7157317,36.1040237,388.0
1040,1040,20906,1616796157.4,61.12170453192678,0.78,-86.71566,36.103977,387.33361367963977
1045,1045,20911,1616796157.9,61.82866645730964,0.39,-86.7155885,36.10392879999999,398.0
1050,1050,20916,1616796158.4,62.144376752130405,0.19,-86.7155157,36.1038798,398.0
